ID,Headword,Definition,Examples
E-0030,Observe/Perceive,"The act of seeing, hearing, or otherwise directly perceiving a person, act, object, event, or condition through one's own senses",this deponent did see standing a lyttle below his owne doore Walter Clarke weponed with billes and staves; this deponent hering horses trample vppon a paved Court in the night time did rise to his wyndowe to see what they were; perceyvinge that; he presently perceved that
E-0033,Obstruct/Prevent,"The act of intentionally blocking, delaying, or preventing something from proceeding",did stopp vp; Intendinge by delayes to weary out thys deponant; suffer the seid chymney to continew stopped
E-0112,Offer,The act of proposing or tendering something to another person for their acceptance,offre; were offred to be solde; did offer to; what somme of money did the sayd John wood profer to you; did the said John Bellowe offer vnto you; hath offered; To make tender of the same forty pounds unto; tendered the money
E-0193,Open,"The act of unsealing, unlocking, or opening a closed container, document, or space",the said gate was opened; to be opened; the dore would not be opened; At the openyng of some of which packes; broke open the Cubord; brake open the chest
E-0065,Owe,The state or assertion of being indebted to another person for money or goods.,oweth not one peny to; Stood indebted to; standeth nowe indebted; beinge indebted to
E-0039,Partner With,The act of entering into or being in a commercial partnership with another person,this defendant was partner with william Burton in trade of Marchandize; did adventure together; became and were parteners together
E-0049,Pawn/Pledge,The act of delivering goods or chattels to a lender as security for a loan,"to kepe for a pawne or gage; did borrowe of one Thomas Drayton Citizen and Girdler of London Thirtie poundes of Lawefull money of England uppon Pawne of Jewelles viz A diamond Ring and a Pendant sett with manie diamondes, and upon a bill of Sale of the said Jewells made from your said Servant unto the said defendt the said defendt did Agree to lend Thirtie poundes; havinge necessary occasyon to occupy money was inforced upon a bill of sale to borrowe upon certen pearls; upon A pawne of plate worthe one hundrethe & xv powndes to be delivered to your said Subiect he should become bownden with the said Aileworthe to the saied Edmond Johns for the paiement of the saied hundred powndes; he had pawned his said stone; delyver in pawne; was enforced to pawne; might pawne the said Clothes for fiftie and of pounds; to pawne two of the saide badd Clothes to som vsurer; did borrowe of one Thomas Drayton Thirtie poundes uppon Pawne of Jewelles; left in the handes of the said Zacharie Humfrey, the said Lease of the said Shoppe in deposito untill this defendant should paye; Leases of the said shopps so left with him in deposito; in whose handes they were deposited for your better securitie"
E-0062,Pay/Satisfy,"The act of transferring money, value, or assets in satisfaction or partial satisfaction of an obligation, debt, price, or claim",payd the same at seuerall paymentes; dyd pay vnto; which saide some of xls your saide Subiecte did trewlye contente and paye; paied vnto him; hath paied to; to pay it; did pay within two daies; did pay in hand; did then paye to; did not satysfye and paye the saide some mencyoned in the Condycion; did pay the same over unto; did well and trewlie pay the said somme unto; to pay over; towards satisfaction of the debts; did yeld him further satisfaction for; to satisfie him; to satisfy him of part of his debt; to make satisfaction to; shold paie downe in hand; did pay in hand vnto; should haue paied; to be paid; paie the same Three hundred pounds over
E-0066,Perjure/Suborn Perjury,"The act of giving false testimony under oath, or of procuring another person to do so",swore falsely; did produce as wittnesses suborned to affirme vppon theire seuerall othes; did suborne by mony and Rewardes wittnesses for the provinge of his informacion; by the practize and procurement of the said Cheshull did nottwithstanding vppon their Corporall othes affirme and saye falsely; by the subornation and procurment of the sayd John Gill did Commytt most vile and detestable periurie; did offer vnto one Ewele of kinges Lin and his sone tene poundes in mony to depose vntruely
E-0067,Persuade,The act of inducing or attempting to induce another person to think or act in a particular way,"perswaded to agree; dyd speake and perswade, or practyse to speake or perswade; belabor; instructe & perswade you; did perswade; by the perswacion of the said defendant; howe was he drawen to make the same; did move & sollicite your said Orator to buye of him; dyd with fayer promises and perswasions comforte and allure; vsed perswasive speaches ffor to Incourage; by fearfull and daungerous wordes so perswaded; sowghte to perswade; drawne and persuaded to; being earnestly moved; urging him very earnestly; importuned; speak and persuade, or practise to speak or persuade with; travell and make friends and Labor to; induced and animated to"
E-0068,Piracy,"The act of committing robbery, violence, or depredation at sea or on navigable waters.",murder alleaged to be Comitted by the said partyes vppon three danes being in a shippe called the Aungell vppon the seas; were for Robbinge of certen frenche men being in twoe shippes
E-0095,Play,The act of engaging in games or gaming practices,"fall to play; did play at dice, used to playe at cardes"
E-0069,Plead,The act of submitting a formal pleading to a court,"filed his answer, put in his bill; hath declaryd yn maner and form foloyng"
E-0219,Prevail/Succeed,The act of achieving or obtaining what one sought or desired,"I haue thowrowghlye effected what I came for; withowt whome, we should not have effected, what nowe is very happilye brought to passe"
E-0018,Procure/Obtain,"The act of obtaining or acquiring goods, services, or supply.",obtain wares; sente vnto his house for wares; could not procure; sent for the petition; to fetche; gathered upp and got into his handes the bookes; procured by synyster Cownsayll; hath opteignyd yn to hys possessyon; obtayne the said Jone to his wyfe; he woulde procure that your said Orator shold have and enioye; to procure the saide fower clothes; would procure to geve; hath there obteined
E-0070,Produce Records,"The act of bringing forward, presenting, or making available books, accounts, documents, or records as proof or evidence.",he will delyuer and showe vnto the saide John Byrche all suche billes as he hathe in his custodye; a Subpœna ducens tecum should be awarded against the defendantes for there present bringing in to this Courte ... the boundaries and evidences and all other the writings; this Deponent could not produce at thexecution of the said Commission
E-0106,Profit,"The act of gaining money, goods, or advantage from a transaction, venture, undertaking, or circumstance",greatly benefitted & profitted himself; gayned about a quarter of a hundred; haue gayned in the overweight; haue gayned one thousand markes; he was a gayner or had some profitte by; ben very greately profited and benefited by; takinge advantage of; had or reaped anye benifytt; to his greate benifytt & comoditye
E-0071,Promise,The act of making an express assurance or undertaking to perform or refrain from a future act.,did promise to; promised him to deale for him in his sayd Suite; promysing to gyve unto; promysing and takyng upon hym; promised to take speciall care; dyd faythfullye promyse; promysed to; geve his assumpsit and promyse
E-0173,Protect/Defend,"The act of shielding or guarding a person, thing, or right from harm, interference, or seizure",would defende; to save his credit
E-0172,Protest,"The act of formally declaring objection to or non-acceptance of an act, claim, or instrument",cause any bill of exchange to be protested; had been protested; had gone back by protest
E-0162,Read,The act of reading or having something read aloud,playnely Read; the writ was read unto him; hath read and heard read
E-0216,Rebuke/Reprove,The act of reproving or expressing disapproval to another person for their conduct,dyd rebuke hym; reproved the Complainant for; to reprehend him for
E-0123,Receive,"The act of having money, goods, or other things come into one's possession, or of admitting a person into one's care or home",receaved the same; hath had & receyved; Watson received of this deponent; dothe yearly resceive divers and sundry Rentes and Annuities; receaved the rentes of the farmors of the sayd Mote and Burrowmarshe to the defendantes vse; which goodes of your sayd orator came holly and entyerely unto the handes and possessyon of the said wyllyam; Receyved wares and Redy money ynto hys owne handes; to receyve the same; upon Receipte thereof; he receyved Answere that; had and receaved of
E-0031,Reckon,The act of settling or accounting with another person for money or goods owed or received,"stryketh a tallie with him; called to reckon; this deponent alone dyd accompte with the sayd Moxon for such moneye as was by this defendant to be demanded; made any accompt with the said Jaques; come to any even reckoninge or generall accompt with your said subiect for such receipt and paymentes as the said Ashley stood charged and accomptable for; all accomptes, reconyinges, & demaundes betwene the sayd Sandford & your highenes subiect weare cleared, ended, & discharged; callinge the said Robert Swaddon to an accoumpt he was found in this deffendantes debt the somme of Three hundred three and fortye poundes three shillinges and tenne pence flemishe hamburghes monye; make a true & perfitt recconinge & accoumpt; uppon calling Blackborne to an accompte Blackborne was founde in arrerage unto Sparke in the Somme of one hundred markes or thereaboutes some parte of whereof ys yet owenge; many accomptes and Reckonynges had and made; make there accompte to the reste of the copertners; hath made Just accompte unto the said Twyne; beinge required by your Subiectes to render to them accompt of there goodes; ther hath byn many accompted and Reckonynges had and made between; also yelde a trewe and Just accompte of the profettes therof; make a true & perfitt recconinge & accoumpt; was to be sett upon your said Orators Reckoninge; was found in this deffendantes debt; levell his account; cast up an Account of the estate of; Casting up of the aforesaid Accounts; as an Auditor to cast up their Accounts; audited & cast up; was found in arrearage in the sum of one hundred marks"
E-0073,Record,"The act of registering goods, values, or transactions in an official book or register",entered into the Custome house booke; entered before the Customer; bookes of the Custome; did enter the said wynes in the Custome house; was the deade in the Chauncerye enrowlled; deade enrolled in the offyce of this Courte
E-0215,Recover,"The act of getting back goods, money, possession, or rights to which one is entitled, especially after wrongful detention or loss",to Recover the said wynes and goodes; the better havinge and Recouerye of his due debte; to recover againe; may recover; to have recovered & gotten
E-0133,Refer,"The act of handing over a matter, dispute, or question to another person for decision or determination",he did referre the questions and controuersies betwene them to Thomas Allabaster; was referred to
E-0102,Refrain,The act of deliberately stopping or holding back from doing something one intended or had the right to do,did forbeare to examine some materiall witnesses; this deponent proceeded noe further; to forbear at law; to procead noe further vppon A former comision
E-0036,Refuse,"The act of declining to do, give, pay, or accept something when called upon",refused to make any answer; refused so to doe; dyd refuse to perform; they refused to; which he refused; hee would not paye the sayde Costes althoughe it was then demanded; refused to make payment; doe refuse to; they all Refused so to doe; would not receaue the same; did refuze to; doe utterly Refuse and denye; refused either to
E-0076,Release/Discharge,"The act of freeing, discharging, or relinquishing a person, obligation, claim, or right","Discharge; surrender; the plaintiff dyd afterwardes Release and forgyve this defendant suche advauntages as he had agenst this deffendant; ffor the releasinge and extinguyshinge of the Complainantes Righte; that therevppon the said John Cawdwell should make vnto the said Complainant A generall Release; most freely & clerely acquited & discharged the said Complainant of all former charge, reconinge or accompte whatsoever; for the Clyere dyscharge of the sayd waren for all suche goodes; have dissolved the second Attachement; enlarged; inlargement; to dyscharge or save them harmles; bond to the defendant to be cancelled; set at liberty; delivered out of prison; could not discharge him"
E-0115,Request,The act of asking another person to do something or provide something,made sutt vnto; desired the plaintiff to proceed no further; being often requested; Intreated them; requyred and desyred the sayd perchard that the sayd ffaunces de Marinis myght be ffactor; earnestly besought; earnestlie requested; became an earnest suiter unto; at the request of; hath requested
E-0194,Return/Restore,"The act of giving back or restoring a thing, right, or status to a person previously holding or entitled to it",he should make good Returne of the sayd goodes; to Redeliver or yeelde him; redelyver vnto; to redeliver unto him; redelivery thereof
E-0052,Reveal,The act of deliberately disclosing information to another person,to discover unto this defendant all the truth of the dealinges of the said Complainant; he should bewraye the premisses; dyd make some of his freindes pryvye to; had been truely enformed of
E-0189,Ride,The act of travelling on horseback or in a vehicle,ride to; did that day ride through; did ride with; as they rode; he doth vse to ride; ryde from; she might ryde; did ryde to; to Ride into; take horse and depart
E-0078,Riot/Unlawful Assembly,"The act of three or more persons assembling unlawfully, often with disorder or violence",riot and affray; affrey; Ryott; did Ryotouslie assembled them selves together with Swordes daggers and staves
E-0121,Scheme,"The act of devising or contriving a deceptive, unlawful, or manipulative course of action to obtain an advantage or produce a desired outcome","devised a subtle practice; contrived; plotted; laid a scheme; Confederynge with his brother Jasper Lafflyn howe to gett the goodes of your highnes saide servaunt into his handes; was by the Conning Conspiracie & practise togeather practised that they should be produced as wittnesses; by the malicious and sinister procurement instigacion and provocacion of the said Read Stafford; did ever practise or had conference with one Robert Rymer to murder the saide Comp̅lt or by anye meanes possible to defeate him of his evidences, and what Reward he should haue for so doinge; practise at anie tyme with the saide warde to denye his othe which he had taken on the behalf of the said Comp̅lt and that if he would so do That then he would sett him free out of pryson and defraye all his Charges; the defendant Baker ... practized with the said Thomas holney to gett his right & interest in the said mannor; hath made contrived devised ymagined entred into and published a certaine fraudulent deede of guifte; did secretlye confederate with; Corruptlie wickedlie and unlawfullie conspired, combyned, confederated, and plotted togeather; the deceites that he hath practised with the said Company"
E-0079,Search,The act of looking for something,searched the ship; to search for vncustomed goods; searche the said shippe; vppon search made; will make searche; did you search or enquier or cause to be serched or enquired; to make search; made privie searche in divers suspected houses; caused search to be made; come aboard the said ship to search the same ship
E-0080,Seize/Capture,"The act of taking goods, property, vessels, or persons into custody, whether by claimed legal authority or by force",seized for the Queen; dyd areste and sease the goods; attache; confiscate; arrested the goods; this defendant and the other defendants did seise or take into their handes the said tenne buttes of Sackes; dyd seize on his goodes and chattells; to attache the said wynes entred in his name towardes the satisfaction of theire debtes; at the said tyme of the attachinge thereof; the same were attached; made an Attachement of; to make attachement; seased by; hathe made seasures of; hath attached for his debt; lay hold
E-0177,Select,The act of picking out particular persons or things,Choose to hym selfe; to Choose; were chosen; was the rather chosen to be
E-0058,Sell,The act of transferring goods or property to another in exchange for money or other consideration,dyd sell and dispose of the same; solde away; dyd sell and convaye awaye; to marchandise and sell; make sale; did sell or cause to be solde; sold unto; to utter and sell
E-0077,Send For,The act of causing a person to come to oneself or to a place,did send for this deponent to come vnto him; he was sent for to the Lo: Tresurors office; should be sent for; send for the same
E-0157,Send/Dispatch,"The act of causing a person, message, or goods to be transported, shipped, carried, or otherwise sent to a destination or recipient.",send over by way of merchandise; shuld sende thyder; Carryed beyeonde the seas out of this Realme; shipped or Conveyd beyond the seas; convayed awaie the saide woolles to his owne howse; laden with twenty smale packes of serges sayes and two packes of lynnen clothe to be caried to Sᵗ Lucar in Spayne; to be transported into Spaine; the woolles were transported to; did cause ye same to be shipped & to be transported; Shipped in three flye Bootes; transportinge of vittells; to convey unto the partyes beyond the see; transported and sent over by way of merchadyse; did send over into; he sent; to be delivered unto
E-0081,Serve Process,"The act of delivering a legal writ, subpoena, or other process to its intended recipient",served the subpoena; serving the defendants with ye said writt of Execucion; served all the defendantes with the said writt of ducens tecum; searved Raphell Hunt with his Maiesties write of Subpena; served the said George miller with a subpena; serue his maiesties writ of suppena; serve the defendant Pitt with an Iniuncion out of this honorable Courte; leave two writtes of Subpœna at the howse of Robert Clough; deliuered to master Robert Royston nowe Mayor of doncaster a Subpœna; this deponent was served with an Attachment out of this Court
E-0119,Show Favor,The act of giving someone preferential treatment or favorable consideration,be ffrendly vnto; shewe him any friendshippe he cold in that matter
E-0150,Show/Exhibit,"The act of presenting an object to another person for their view, without parting with possession",did shewe the said peticion; did shewe vnto Sir John Lentall; shewed the said petition vnto; desired to shewe vnto them; did showe to this deponent a peece of parchment; did showe vnto; did exhibit the said bond
E-0084,Smuggle,The act of importing or exporting goods or persons illicitly to evade customs duties or other regulations,"unlawfully landed; without any manner of serche or vewe by any offycer taken, and without any certificat made"
E-0195,Spend/Disburse,"The act of laying out money for expenses, costs, or expenditure",did disburse; hath disbursed; is to disburse; had disbursed in; disburst; was to disburse; woulde disburse a pece of moneye; such money as he had disbursed; he would spende one hundred markes; he wolde spende; hath spent therein; disbursed divers and sundry sums of money; layd out and disbursed
E-0144,Stand Surety,"The act of guaranteeing another person's performance of an obligation, debt, or undertaking, and assuming liability if they default.",dettes for which he was in trewth but a suertie; dyd enter into divers bondes & obligacions as Suretie for the Complainant; your saide subiecte and one Robert Russell of Sowthampton in the Countye of the Towne of Southampton Brewer at the speciall instaunce and request of youre saide subiecte became ioyntely and seuerally bounde vnto the sayde miles willys onely in an obligacion of two hundred poundes knowinge that your said poore subiecte standeth bounde vnto his saide suretie Roberte Russell in fowre hundred poundes to save him harmeles; to whome the said George Bucke stoode indebted as for his owne proper debte; become bounden unto him with two sufficient suerties; procure his frendes to become bounden for him; to become bounden for him; procure the said John wattes to promyse to defend and save harmeles; became suerties for; become bound unto them with good & sufficient suerties; defendantes standing bond for the said Barro for the payment
E-0040,Store,"The act of placing goods in a warehouse, cellar, or other place of keeping",to warehouse; store in the cellar; to cellar
E-0212,Submit,"The act of yielding or deferring to another's judgment, authority, or decision.",submitted to arbitrament; submytt them selves to order & arbitrament; submitted themselves to
E-0120,Subscribe,"The act of giving formal assent or execution to a document by affixing one's name, mark, or seal",sealled; seal; sign; make mark; by a certen Note in wryteinge and by hym with hys marcke signed acknowledge himselfe to be endebted; the same was subscribed with the names of a greate many of the sayd Newtons Customers and this deponent at his request did alsoe subscribe his name therunto; the signing sealing and publishing therof; subscribed with the name of; a letter subscribed by; subscribed your name to; subscribed & sealed by; subscribed to
E-0017,Sue,The act of beginning a legal action against another person in a court,made suit; commenced action; did exhibit an enformacion ageinst your said subiectes in your highnes Court of exchequer; did implead your said subiect in the Court of the Borough of Hellston; browght an accion att the Common law; the saide defendant declared ageinst this deponent vppon a bill of dett; preferred hys bill in to this honorable Courte; hath of late affermyd a pleynt of dysseyte upon hys case ageyne your sayd orator; goeth abowt to sue and Impleade your said Orator at and by the course of the common Lawes; bring suyte at the Comon lawe; upon the said plaint of debt commenced against him; to comence a plaint of debt against him; hath of late commenced suite in your Majesties honorable court of Whitehall; the plaint of partition brought by; purchase and sue forth of the Court of Chancery one original writ; to sue forth or purchase an original writ; sue out the Statute of Bankrupt against; became suitors to obtain a Commission of Bankrupts to be awarded against
E-0086,Take,The act of getting possession of a thing,took; forcibly carry off; tooke away; taketh; the defendant Pitt had taken or caused to be taken away all the apples; hee had taken them away; tooke a Coppy thereof; take pluck vp or carrye awaye; carryed away by him
E-0037,Testify,The act of giving or taking a deposition or sworn statement before a court or commission,Deposicions taken before; sworen and examyned; sworne saieth as followeth; did formerly testify
E-0089,Threaten,"The act of communicating intended harm, punishment, or adverse consequences to another, so as to create fear or apprehension","threatened to murder; thretning to murder or cast vs ouer borde; threatened witnesses; intimidate; thretned divers of your maiesties good Subiectes that he the said Edwarde Bodye hath informed ageinst them; Ministrenge to your Orator suche Manishenge and threatineng wordes that for feare of his lieffe and cuttenge of his lymmes he darrethe not approche; did threaten the sayd John wood, to putt hym in suite; hath threatned; threatneth to doe; did never thretten to; by which devices this defendant being terrified did for fear; to entrap & terrify; had terrified the Complainant; swore very desperately that if any man received the rope he would cut the rope and kill the oxen; did persuade with the said Complainant in threatening manner; by way of persuasion and threatening"
E-0098,Trade,The act of carrying on commerce or trafficking in merchandise,had dealings; trafficked; transacted; havinge traffecked to; the occupacion and ffete and Merchaundyes long tyme between them practysed; hys occupying of Marchaundyes; to be employed in Course of marchaundyes; for the employing and bestawyng of the sayd goode; to merchandyse; use the feat of merchandise; to employ suche stocke; they have traffiqued; having trad and recourse thither for selling of; did trade also into the said Countrie; ufficiente men that used or woulde deliver and paye money there in Cambridge to be receyved by way of retorne or exchange in London; did opently deale or trade in Marchaundize
E-0221,Train,"The act of instructing another person in a craft, trade, or skill",he was never apprentice thereunto nor brought upp therein; was brought up as an apprentyce in the trade; she had bin broughte up as a Linnen draper; bringinge up there servauntes; fostered and bredde upp hitherto; education & bringinge up; to instruct and direct him in
E-0093,Trust,"The act of placing confidence in another person, especially as the basis for entrusting goods, money, credit, or responsibility","did Repose great truste in; giving Creditt unto the said Awdleyes accomptes; gevinge overmuche credit to the wordes & faythfull promises and the rather for that he is an olde, auncient man and seemed then that he ment bothe faythfully & truly; reposinge an especiall truste & confidence & gyvinge faythe & credit to ther said faythfull promises; wholie dependigne, relyinge, and resolving upon the fayth and good conscience of him; in whom he presumed he might have reposed much truste, did committ the whole trust of the said shippe and all the goodes; did repose his full & holl trust & confidence in his sayd servaunt; nothinge mystrustinge his frendship and honestie; of the trust he reposed in them and of their honesties; seemed verie well satisfied with your orators owne word; giveinge creditt vnto the said Chaundlor & reposinge trust & confidence in him beinge a mane of good estate reputacion & creditte; Relyinge upon the faithefull promises of; havinge a speciall trust and confidence in Richard Glanfill and Fraunces Glanfill merchantes and goldsmithes of London, relyinge upon their upright dealinges and reposing himselfe wholy upon them; speciall truste and confidence which he had to one John Rosse; putting hys hole Trust and confydence yn the said wyllyam waren; they have alsoe reposed such confidence in your said subiect and in his honest and iust dealinge; gevinge Credite and thinkinge the saide John Lafflyn to be bothe honest and welthie and that he would performe his sayde promise; givinge trust & confidence to his faire wordes and Flatteringe speaches; Relyinge upon the faithefull promises of; nothinge doubted"
E-0153,Try/Attempt,"The act of making an effort to accomplish or bring about something, where the outcome is uncertain or incomplete",indevored to; he will adventure to; atteign unto; attempte; to doe his best endevour to; did to his best indevor; to his best endevour
E-0183,Undervalue,"The act of deliberately assessing or representing goods, property, or assets at less than their true value",hathe also undervalewed the goodes wares & marchandizes; caused the said Fustians which then were worth Fower and Fiftye poundes at the least to be undervalued and prised at
E-0131,Underwrite/Endorse,"The act of signing or endorsing a bill of exchange, bond, or other instrument as a secondary guarantor, assuming liability if the primary obligant defaults",underwryt twoe severall third bills of exchaung; with Condicion in effecte thereupon endorsed or underwrytten; obligacions were allso indorsed with the names of certeyne witnesses; indorsed upon the backside on the same letters; had underwritten
E-0124,Unload,The act of removing goods from a vessel or vehicle,dyd take certeyne white Canvas oute of A certeyne Shippe; unladed the said goods from the ship
E-0111,Verify,"The act of confirming or establishing the truth or accuracy of a statement, account, claim, or transaction",verified the accounts; established the accounts were genuine; did make inquirie sence whether the same deed made by the said Nobell vnto this Complt were made without forgerie
E-0220,Vex/Harass,"The act of wrongfully disturbing, troubling, or annoying another",inquiett and molest; he so molested this deponent; to be molested or troubled by; would plague the Complainant so long as he lived; for the oppressing of
E-0099,Violate,"The act of breaking, transgressing, or acting contrary to a law, statute, ordinance, oath, or other binding rule.",bought before market; dyuers wares and merchandizes which were not entered before the Customer; hath both spoken and done thinges that were both contrary to his othe & to the lawes of the towne of Thaxsted; nothinge regardinge the said Statutes; which he hadd receaved contrary to the Statute; seke meanes to defraude the statute of vserye; to defeate the statute
E-0149,Warn,"The act of notifying another person of a risk, danger, legal consequence, or requirement so as to put them on notice",the defendant had warned them; did admonishe; put him in mind that; give warning to; give warninge for; this warninge was given to; was forewarned and told that
E-0141,Warrant/Guarantee,"The act of asserting that goods, property, or other things are of a stated quality, condition, soundness, or worth","warraunt; he wolde warrante them to be so good and newe; did warrant and affirm the same to be sound and merchantable; made the like warrantie to; affirminge that the same shippe was good stronge and staunch; protestinge and constantly affirminge that the same chayne was well woorth eight hundred pounds or above; take upon hyme to warrante and affyrme that the said geldinge was hoole and sounde of wynde and lymme; you will warrant yt to be a right Bezer stone; he should not warrant the same to aynie person, for that the sayed clothes were not good; he could not make any warrantye of the colores of the said clothes; affyrmed that the said geldyngge was at that present in all partes sounde And without faulte; warranted to be vnder thage of ix yeares and to be save and sounde of Wynde and Lymme; should be as good att the bottom of the barrells as it was att the topps thereof; was hole sownde and merchauntable"
E-0003,Waste/Consume,"The act of wastefully dissipating, depleting, or destructively consuming goods, an estate, or resources, especially in a manner that injures another's interest",consumed his master's goods; live riotously and wantonly upon; waste the substance; wasted his estate; spoil and havoc of
E-0132,Weigh,The act of determining the weight of goods or other items by scale or balance,weigh or cause to bee weighed; had weighed or caused the same by his servants to bee waighed at his owne beame and scales; did weigh at the king's beam
E-0100,Withhold,"The act of retaining or refusing to return goods, money, property, or other things that another party claims or demands",withheld the wares; did stay a certayne porsion of wares in his hande; to withhould the possession thereof from; taken them away and woulde keepe the possession; they haue keept back 6£; doe deteine and keepe the same from the said Complt; detained in his handes; wrongfully detein the same; to keepe the suger from; stayed by; most unconscionably detayneth from; still detayneth; iniustly detayned them from
E-0101,Write,"The act of composing or setting down a letter, document, instrument, or record","wrote letters; did wryt the said lettres; wryte the same awarde & arbytrament in partchment; dyd wryte one or twoe letteres; in setting downe the depossisions; did ingrosse the document; make writings unto; wrote twoe several letters; by theire several letters bearinge date about the twoe & twentithe daye of Februarie last did write; wrote backe agayne; wrate his further letteres to; was wrytten; wrote privily unto; to penne and set down; did wryte and ingrosse the sayde deede; ngrosse a deed, which one master Orrys had drawne; were drawen and engrossed; were engrossed"
E-0206,,,
E-0225,,,
E-0085,,,
